Timestamp (s),Voltage (V), Capacitance (F), Resistance (Ohms), Total Current (A)
2589.69727,0.21100,0.00000,0.00000,7.35586E-5
2590.00977,-1.62245,4.27636E-10,1.91840E+6,6.93829E-5
2590.65918,2.11000,3.80898E-10,2.74953E+6,6.95429E-5
2591.30469,-3.33437,3.57516E-10,2.60518E+6,5.89236E-5
2591.95605,-4.33314,3.34208E-10,3.13865E+6,5.87498E-5
2592.60840,-5.33293,3.16203E-10,3.61764E+6,5.89340E-5
2593.24805,-6.33205,3.01450E-10,4.00559E+6,5.88273E-5
2593.89746,-7.33028,2.88936E-10,4.35056E+6,5.88061E-5
2594.53809,-8.33043,2.77988E-10,4.68158E+6,5.89009E-5
2595.18164,-9.33100,2.68142E-10,5.04640E+6,5.89536E-5
2595.82324,-10.33100,2.59096E-10,5.39964E+6,5.89241E-5
2596.46680,-11.33140,2.50617E-10,5.75470E+6,5.88469E-5
2597.10840,-12.33005,2.42492E-10,6.15881E+6,5.90058E-5
2597.75000,-13.33222,2.34555E-10,6.62328E+6,5.89414E-5
2598.40234,-14.33349,2.26640E-10,7.17255E+6,5.88558E-5
2599.04297,-15.33628,2.18558E-10,7.79600E+6,5.89943E-5
2599.68555,-16.33741,2.10027E-10,8.64659E+6,5.89383E-5
2600.32813,-17.33529,2.00672E-10,9.77655E+6,5.90104E-5
2600.96973,-18.33896,1.89725E-10,1.16300E+7,5.89743E-5
2601.61230,-19.33566,1.75010E-10,1.15139E+7,5.89252E-5
2602.25781,-20.33898,1.38077E-10,7.78493E+6,5.89220E-5
2602.94238,-21.33502,6.74750E-11,-1.28914E+8,5.90903E-5
2603.63086,-22.06110,2.85731E-11,-7.40855E+6,5.98914E-5
2604.31934,-23.06551,1.33337E-11,4.82094E+8,5.97298E-5
2604.99902,-24.04927,1.32356E-11,4.84641E+8,5.98127E-5
2605.64160,-25.04831,1.31926E-11,6.27865E+8,5.96615E-5
2606.28223,-26.06828,1.31582E-11,6.93778E+8,5.97249E-5
2606.92383,-27.03572,1.31372E-11,4.75360E+8,5.97656E-5
2607.57031,-28.05347,1.31163E-11,4.30321E+8,5.96736E-5
2608.21191,-29.06801,1.31087E-11,4.82681E+8,5.98702E-5
2608.86523,-30.07005,1.30968E-11,4.81945E+8,5.98497E-5
2609.51074,-31.05000,1.30802E-11,5.14126E+8,5.97507E-5
2610.15234,-32.06456,1.30680E-11,4.24712E+8,5.98354E-5
2610.79590,-33.06541,1.30599E-11,4.67658E+8,5.98499E-5
2611.43848,-34.05390,1.30424E-11,7.18009E+8,5.98765E-5
2612.09375,-35.07130,1.30340E-11,4.02791E+8,5.97562E-5
2612.73438,-36.05126,1.30237E-11,6.44951E+8,5.97311E-5
2613.37598,-37.06308,1.30268E-11,5.44356E+8,5.98223E-5
2614.02637,-38.07061,1.30134E-11,4.17014E+8,5.99212E-5
2614.66699,-39.07476,1.30126E-11,4.49174E+8,5.99865E-5
2615.31836,-40.05838,1.30082E-11,5.43878E+8,5.98470E-5
2615.96289,-41.04976,1.30018E-11,5.63607E+8,5.99117E-5
2616.60449,-42.08265,1.29892E-11,5.38858E+8,5.99972E-5
2617.25684,-43.06326,1.29824E-11,4.42962E+8,5.99131E-5
2617.89746,-44.05885,1.29828E-11,4.11270E+8,5.98769E-5
2618.54883,-45.06620,1.29774E-11,5.78307E+8,5.98808E-5
2619.19043,-46.04385,1.29735E-11,4.50516E+8,5.99468E-5
2619.83203,-47.07066,1.29654E-11,5.06449E+8,5.98675E-5
2620.47266,-48.06954,1.29618E-11,5.06241E+8,5.98991E-5
2621.11523,-49.05214,1.29596E-11,4.95571E+8,5.99277E-5
2621.75391,-50.06529,1.29606E-11,5.24047E+8,5.98983E-5
2622.39746,-51.08002,1.29531E-11,6.09717E+8,5.99378E-5
2623.03809,-52.05635,1.29469E-11,4.73478E+8,5.98644E-5
2623.68066,-53.06692,1.29483E-11,4.83298E+8,5.98769E-5
2624.32129,-54.07033,1.29438E-11,5.92915E+8,6.00596E-5
2624.96289,-55.05130,1.29404E-11,4.47973E+8,6.01398E-5
2625.60547,-56.05932,1.29280E-11,4.57335E+8,5.99564E-5
2626.24512,-57.08425,1.29343E-11,3.77647E+8,6.00524E-5
2626.88574,-58.05946,1.29374E-11,5.81102E+8,5.99415E-5
2627.54004,-59.06601,1.29267E-11,5.28612E+8,6.00535E-5
2628.18164,-60.06582,1.29256E-11,5.38364E+8,6.00126E-5
2628.83105,-61.06245,1.29274E-11,6.35249E+8,6.01593E-5
2629.47852,-62.07211,1.29241E-11,6.12951E+8,6.00822E-5
2630.12109,-63.06235,1.29182E-11,6.37722E+8,5.99693E-5
2630.76270,-64.06287,1.29103E-11,5.71178E+8,6.01496E-5
2631.40527,-65.06714,1.29106E-11,5.45467E+8,6.01777E-5
2632.04688,-66.05683,1.29005E-11,3.95753E+8,6.00798E-5
2632.69629,-67.04709,1.29071E-11,4.60940E+8,6.00660E-5
2633.33691,-68.05825,1.29026E-11,4.74327E+8,6.00423E-5
2633.97949,-69.06360,1.29038E-11,5.41331E+8,6.00258E-5
2634.62109,-70.04631,1.28991E-11,5.93148E+8,6.01933E-5
2635.26074,-71.05869,1.28972E-11,6.65126E+8,6.02267E-5
2635.91211,-72.05650,1.28959E-11,6.42399E+8,6.01396E-5
2636.55469,-73.05194,1.28947E-11,5.40504E+8,6.01590E-5
2637.19434,-74.06260,1.28894E-11,5.66668E+8,6.01400E-5
2637.83691,-75.07314,1.28839E-11,3.46920E+8,6.02229E-5
2638.47754,-76.05859,1.28901E-11,5.70866E+8,6.01023E-5
2639.11816,-77.06437,1.28803E-11,5.88547E+8,6.01794E-5
2639.75879,-78.05790,1.28772E-11,6.73829E+8,6.00041E-5
2640.40039,-79.05652,1.28840E-11,4.86600E+8,6.00042E-5
2641.04395,-80.08003,1.28750E-11,6.11358E+8,6.01568E-5
2641.68750,-81.08669,1.28834E-11,5.07723E+8,6.01296E-5
2642.33008,-82.06783,1.28767E-11,4.77754E+8,6.02007E-5
2642.96973,-83.06615,1.28678E-11,4.97847E+8,6.01999E-5
2643.62012,-84.06388,1.28759E-11,4.02446E+8,6.00485E-5
2644.26660,-85.06704,1.28801E-11,4.22168E+8,6.02545E-5
2644.91602,-86.04860,1.28597E-11,5.19048E+8,6.00893E-5
2645.55859,-87.06784,1.28656E-11,4.03566E+8,6.00493E-5
2646.21191,-88.06209,1.28686E-11,5.42459E+8,6.01566E-5
2646.85254,-89.06578,1.28558E-11,3.55306E+8,6.01023E-5
2647.49121,-90.07558,1.28682E-11,2.97045E+8,6.02648E-5
2648.14258,-91.07355,1.28577E-11,1.85170E+8,6.00705E-5
2648.78320,-92.07138,1.28673E-11,6.78400E+7,6.02242E-5
2649.43652,-93.06123,1.29995E-11,1.09775E+7,6.02372E-5
2650.08984,-94.08988,2.48178E-11,508772.00000,5.78872E-5
2650.82129,-94.87876,-8.72694E-11,19754.20000,-5.78318E-5
2651.48047,-94.85602,8.17950E-11,7618.82000,-6.42647E-5
2652.18555,-94.78336,1.08962E-10,7660.98000,-7.01209E-5
2652.86230,-94.78611,-5.01823E-11,10210.30000,-7.49847E-5
2653.61328,-94.77856,1.18540E-10,8714.89000,-7.94246E-5
2654.34082,-94.70714,1.29416E-10,8972.60000,-8.33688E-5
2655.01758,-94.70849,5.16961E-10,7404.89000,-8.67840E-5
2655.70410,-94.67756,1.33728E-10,9628.24000,-8.97636E-5
2656.40820,-94.69509,4.81141E-10,7592.49000,-9.23535E-5
2657.09473,-94.69843,5.06665E-10,7394.09000,-9.46097E-5
2657.77539,-94.70627,5.11002E-10,7261.69000,-9.65144E-5
2658.45215,-94.71764,1.31240E-10,8887.07000,-9.80556E-5
2659.15332,-94.71680,1.42408E-10,9029.53000,-9.91290E-5
2659.84082,-94.72726,5.33276E-10,7026.02000,-9.98178E-5
2660.53516,-94.72352,5.40453E-10,7052.75000,-0.00010
2661.22070,-94.72285,5.38153E-10,7001.49000,-0.00010
