Timestamp (s),Voltage (V), Capacitance (F), Resistance (Ohms), Total Current (A)
3750.53906,-0.68858,0.00000,0.00000,7.39906E-5
3750.85938,-1.62961,4.28235E-10,3.36360E+6,6.95486E-5
3751.53516,2.11000,3.81267E-10,5.08987E+6,6.96035E-5
3752.17676,-3.33452,3.57756E-10,5.01513E+6,5.90295E-5
3752.81836,-4.33708,3.34393E-10,6.71228E+6,5.90094E-5
3753.46094,-5.33622,3.16359E-10,7.95087E+6,5.89580E-5
3754.10352,-6.33458,3.01704E-10,8.92597E+6,5.89237E-5
3754.75391,-7.33281,2.89207E-10,1.00111E+7,5.90365E-5
3755.39941,-8.33267,2.78256E-10,1.13995E+7,5.89697E-5
3756.05078,-9.33452,2.68490E-10,1.28422E+7,5.89650E-5
3756.69824,-10.33380,2.59470E-10,1.38727E+7,5.90675E-5
3757.34766,-11.33622,2.50982E-10,1.63447E+7,5.89572E-5
3757.99414,-12.33883,2.42853E-10,1.79718E+7,5.90407E-5
3758.63672,-13.33680,2.35016E-10,1.99086E+7,5.89442E-5
3759.27734,-14.33860,2.27201E-10,2.28091E+7,5.90917E-5
3759.92188,-15.33895,2.19181E-10,3.22595E+7,5.90009E-5
3760.56836,-16.34008,2.10840E-10,3.55793E+7,5.90394E-5
3761.21094,-17.34314,2.01582E-10,5.69124E+7,5.91855E-5
3761.85547,-18.34251,1.90931E-10,2.46383E+8,5.91567E-5
3762.50000,-19.34043,1.77061E-10,1.40508E+10,5.92348E-5
3763.14063,-20.34136,1.47070E-10,6.93822E+6,5.90828E-5
3763.78125,-21.33931,7.59517E-11,6.98287E+7,5.91215E-5
3764.45801,-22.05944,2.68825E-11,3.85389E+7,5.99092E-5
3765.12793,-23.07089,1.33284E-11,-2.42137E+8,5.98508E-5
3765.76953,-24.06130,1.32217E-11,-4.39847E+8,5.98695E-5
3766.41211,-25.05756,1.32107E-11,-2.22184E+8,5.98470E-5
3767.05176,-26.06730,1.31466E-11,-4.61724E+8,5.98705E-5
3767.69336,-27.05864,1.31763E-11,-4.20779E+8,5.99393E-5
3768.34766,-28.06985,1.31369E-11,-7.05495E+8,5.98862E-5
3768.98926,-29.05250,1.31064E-11,-2.94889E+8,5.99690E-5
3769.64355,-30.03881,1.31269E-11,-2.13823E+8,5.98555E-5
3770.28613,-31.07300,1.30452E-11,-2.66002E+8,5.99871E-5
3770.92871,-32.07587,1.30889E-11,-6.43363E+8,5.99782E-5
3771.58301,-33.05184,1.30636E-11,-2.69703E+8,6.00629E-5
3772.22266,-34.05779,1.30171E-11,-2.32950E+8,6.00322E-5
3772.87402,-35.04819,1.30341E-11,-4.54458E+8,5.99324E-5
3773.51758,-36.05800,1.30467E-11,-1.58245E+8,5.99253E-5
3774.15820,-37.05336,1.30224E-11,-1.82344E+8,5.99834E-5
3774.80176,-38.06528,1.29745E-11,-2.55488E+8,5.99515E-5
3775.44238,-39.05840,1.30340E-11,-4.36848E+8,6.01190E-5
3776.08594,-40.07144,1.29718E-11,-3.00309E+8,6.01060E-5
3776.73633,-41.05745,1.29980E-11,-2.19207E+8,6.00596E-5
3777.37793,-42.07135,1.29683E-11,-2.25125E+8,6.01054E-5
3778.02539,-43.06036,1.30080E-11,-5.83850E+8,5.99735E-5
3778.66992,-44.06771,1.29836E-11,-2.64141E+8,6.00559E-5
3779.31152,-45.07884,1.29731E-11,-3.10001E+8,6.00979E-5
3779.95508,-46.05921,1.29621E-11,-6.82705E+8,6.00746E-5
3780.59863,-47.06932,1.29486E-11,-2.13371E+8,6.01946E-5
3781.23926,-48.06791,1.29190E-11,-2.07975E+8,5.99863E-5
3781.87891,-49.06403,1.29496E-11,-4.35774E+8,6.01325E-5
3782.51953,-50.06665,1.29000E-11,-5.68507E+8,6.02133E-5
3783.17188,-51.07039,1.29404E-11,-8.49842E+8,6.00141E-5
3783.81934,-52.05742,1.29542E-11,-4.51273E+8,6.01780E-5
3784.45996,-53.07172,1.29340E-11,-3.22150E+8,6.01801E-5
3785.10449,-54.07050,1.29708E-11,-1.84514E+8,6.01485E-5
3785.74609,-55.07130,1.28859E-11,-2.38903E+8,6.01877E-5
3786.38379,-56.05050,1.29218E-11,-1.00461E+9,6.02260E-5
3787.03711,-57.06862,1.29634E-11,-2.49830E+8,6.00517E-5
3787.68262,-58.05938,1.29023E-11,-1.86316E+8,6.02102E-5
3788.32422,-59.05362,1.29130E-11,-2.12799E+8,6.01924E-5
3788.97168,-60.06858,1.29799E-11,-4.43520E+8,6.01262E-5
3789.61719,-61.04615,1.29165E-11,-2.11742E+8,6.01208E-5
3790.26855,-62.05975,1.29305E-11,-4.49053E+8,6.01681E-5
3790.91211,-63.06849,1.28891E-11,-3.19285E+8,6.03087E-5
