Timestamp (s),Voltage (V), Capacitance (F), Resistance (Ohms), Total Current (A)
5089.16895,0.21100,0.00000,0.00000,7.34040E-5
5089.49023,-1.62543,4.23345E-10,430259.00000,6.97015E-5
5090.16797,-2.30360,3.77434E-10,559013.00000,6.97268E-5
5090.81152,-3.33762,3.55145E-10,633590.00000,5.90527E-5
5091.45117,-4.33651,3.32247E-10,723580.00000,5.90575E-5
5092.09277,-5.33564,3.14577E-10,801956.00000,5.90778E-5
5092.73730,-6.33560,3.00171E-10,875983.00000,5.90874E-5
5093.37793,-7.33585,2.87975E-10,945394.00000,5.91024E-5
5094.02051,-8.33369,2.77291E-10,1.01272E+6,5.91994E-5
5094.66113,-9.33436,2.67633E-10,1.08239E+6,5.91650E-5
5095.30371,-10.33563,2.58876E-10,1.16283E+6,5.92963E-5
5095.94727,-11.33453,2.50588E-10,1.23696E+6,5.91967E-5
5096.59082,-12.33603,2.42686E-10,1.31653E+6,5.93078E-5
5097.24219,-13.34077,2.34928E-10,1.41066E+6,5.91910E-5
5097.88379,-14.34344,2.27290E-10,1.50873E+6,5.93614E-5
5098.52637,-15.34212,2.19458E-10,1.62360E+6,5.93669E-5
5099.16992,-16.34223,2.11228E-10,1.75971E+6,5.92943E-5
5099.81055,-17.34274,2.02376E-10,1.93773E+6,5.93320E-5
5100.45215,-18.34100,1.92187E-10,2.19380E+6,5.91986E-5
5101.09668,-19.34395,1.79254E-10,2.56401E+6,5.92106E-5
5101.74023,-20.34089,1.56754E-10,2.68606E+6,5.92733E-5
5102.38184,-21.34330,8.95481E-11,3.75917E+6,5.92480E-5
5103.05664,-22.04525,3.10934E-11,4.04135E+6,6.00381E-5
5103.72656,-23.06218,1.00195E-11,-9.05680E+9,6.00410E-5
5104.36719,-24.07154,9.88205E-12,-3.09782E+8,6.00604E-5
5105.01953,-25.05721,9.83006E-12,-5.03116E+8,6.00082E-5
5105.66211,-26.05979,9.85797E-12,-3.76394E+8,6.00738E-5
5106.30273,-27.05644,9.81223E-12,-9.33100E+8,6.00948E-5
5106.94531,-28.06240,9.80899E-12,-3.62636E+8,5.99869E-5
5107.58887,-29.07080,9.82215E-12,-3.03671E+8,5.99931E-5
5108.23047,-30.05988,9.75780E-12,-1.10385E+9,6.01391E-5
5108.88574,-31.04988,9.74922E-12,-8.52444E+8,6.02038E-5
5109.53516,-32.06973,9.73221E-12,-4.23849E+8,6.01158E-5
5110.17676,-33.05133,9.76285E-12,-4.67676E+8,6.00609E-5
5110.82910,-34.04478,9.76633E-12,-6.58980E+8,5.99889E-5
5111.47656,-35.06454,9.78382E-12,-3.60084E+8,6.01808E-5
5112.11719,-36.05896,9.73924E-12,-1.56488E+9,6.00747E-5
5112.76563,-37.05985,9.82132E-12,-5.70663E+8,6.02345E-5
5113.40723,-38.06723,9.71825E-12,-5.25883E+8,6.00563E-5
5114.04883,-39.08048,9.70193E-12,1.30862E+11,6.02068E-5
5114.69629,-40.06718,9.74700E-12,-3.26004E+8,6.02345E-5
5115.34180,-41.05972,9.74096E-12,6.40372E+8,6.00803E-5
5115.98047,-42.07621,9.71185E-12,-3.63555E+8,6.01649E-5
5116.63086,-43.06295,9.69316E-12,-3.97050E+8,6.00567E-5
5117.27734,-44.06893,9.74559E-12,-7.20825E+8,6.02330E-5
5117.91699,-45.07478,9.75353E-12,-3.11665E+8,6.02332E-5
5118.55859,-46.07407,9.73427E-12,1.88760E+9,6.02635E-5
5119.20898,-47.06514,9.73539E-12,-2.47618E+9,6.01321E-5
5119.84766,-48.07272,9.67965E-12,-3.56877E+8,6.03201E-5
5120.48828,-49.05669,9.71509E-12,-2.38694E+8,6.01934E-5
5121.14160,-50.06203,9.70535E-12,-2.92740E+8,6.01603E-5
5121.78125,-51.08772,9.71358E-12,-1.45552E+9,6.03143E-5
5122.43359,-52.04597,9.71279E-12,-3.58859E+8,6.01772E-5
5123.08008,-53.06217,9.71357E-12,-6.08763E+8,6.02050E-5
5123.73438,-54.06956,9.71282E-12,-2.75483E+9,6.02997E-5
5124.38184,-55.06556,9.68422E-12,-1.88625E+8,6.02099E-5
5125.02930,-56.06000,9.70036E-12,-5.72447E+8,6.02249E-5
5125.67188,-57.07993,9.67757E-12,-3.33500E+8,6.03081E-5
5126.31348,-58.06092,9.72032E-12,-6.61828E+8,6.02722E-5
5126.95605,-59.07034,9.66655E-12,-4.66548E+8,6.02201E-5
5127.60156,-60.06883,9.68088E-12,-3.74931E+8,6.03643E-5
5128.24902,-61.04684,9.73531E-12,-7.15468E+8,6.02760E-5
5128.89355,-62.06945,9.67686E-12,-5.24710E+8,6.04250E-5
5129.54590,-63.07692,9.72020E-12,-7.46891E+8,6.03864E-5
5130.19336,-64.05489,9.69628E-12,-4.37208E+8,6.02407E-5
5130.83984,-65.05225,9.71410E-12,-2.69540E+8,6.02729E-5
5131.48242,-66.06506,9.65078E-12,-5.97940E+8,6.02218E-5
5132.13477,-67.05286,9.68395E-12,-6.37919E+8,6.03056E-5
5132.78125,-68.07101,9.65816E-12,-4.23827E+9,6.03465E-5
5133.42188,-69.08714,9.68894E-12,-1.57535E+9,6.04046E-5
5134.06348,-70.05093,9.68244E-12,-6.19329E+8,6.03681E-5
5134.70410,-71.05853,9.66973E-12,1.07235E+10,6.03343E-5
5135.34277,-72.06861,9.67935E-12,-2.09700E+8,6.04067E-5
5135.98535,-73.05804,9.65264E-12,-8.03227E+8,6.04424E-5
5136.62891,-74.04602,9.67073E-12,-1.60975E+8,6.04385E-5
5137.27441,-75.06403,9.64586E-12,-7.40477E+8,6.03159E-5
5137.92480,-76.06106,9.63933E-12,-2.36382E+8,6.04534E-5
5138.56738,-77.07113,9.65833E-12,-4.73096E+10,6.04152E-5
5139.22070,-78.06410,9.69346E-12,-5.30558E+8,6.03467E-5
5139.86621,-79.05586,9.66655E-12,-3.83140E+8,6.04409E-5
5140.50684,-80.05627,9.67351E-12,-2.89500E+8,6.03168E-5
5141.15137,-81.05386,9.63410E-12,-3.71386E+8,6.03484E-5
5141.80371,-82.06374,9.67912E-12,1.16468E+9,6.05479E-5
5142.45020,-83.06451,9.68786E-12,1.51479E+9,6.04958E-5
5143.10352,-84.07103,9.65348E-12,-3.31510E+8,6.04711E-5
5143.75000,-85.08633,9.70214E-12,-3.04521E+8,6.04409E-5
5144.40137,-86.05005,9.68859E-12,-5.45203E+8,6.04065E-5
5145.04785,-87.07693,9.63868E-12,-3.47151E+8,6.04893E-5
5145.69434,-88.08819,9.65426E-12,-3.31154E+8,6.04280E-5
5146.33496,-89.05388,9.67012E-12,-1.88405E+8,6.03163E-5
5146.97754,-90.06883,9.66609E-12,1.44948E+9,6.04854E-5
5147.61816,-91.06538,9.65787E-12,-5.20263E+8,6.03255E-5
5148.26074,-92.06770,9.64669E-12,-4.69591E+8,6.03810E-5
5148.91406,-93.07021,9.68527E-12,-3.84902E+8,6.03863E-5
5149.55957,-94.07411,9.67796E-12,-3.06463E+8,6.03475E-5
5150.21094,-95.05437,9.64447E-12,-3.89746E+8,6.03562E-5
5150.86133,-96.06753,9.67687E-12,-5.82803E+8,6.03737E-5
5151.50488,-97.05991,9.68804E-12,-8.82506E+8,6.04274E-5
5152.14941,-98.06153,9.61055E-12,-1.98956E+8,6.03514E-5
5152.80371,-99.06271,9.62431E-12,-3.63728E+8,6.04415E-5
5153.44629,-100.06051,9.64535E-12,-3.29312E+8,6.05595E-5
5154.09375,-101.05358,9.69417E-12,7.46995E+8,6.04045E-5
5154.73633,-102.07233,9.67227E-12,5.14250E+8,6.04443E-5
5155.37793,-103.06898,9.63898E-12,-8.31682E+8,6.03730E-5
5156.02051,-104.05591,9.64572E-12,-5.55408E+8,6.05809E-5
5156.66211,-105.05886,9.62980E-12,-2.66578E+8,6.04051E-5
5157.31250,-106.05717,9.66275E-12,4.04197E+9,6.04652E-5
5157.95508,-107.05648,9.62125E-12,-6.31906E+8,6.05665E-5
5158.60547,-108.06365,9.67514E-12,1.04089E+10,6.04249E-5
5159.24609,-109.07813,9.64726E-12,1.81308E+9,6.03907E-5
5159.88867,-110.05577,9.64162E-12,2.40707E+8,6.04934E-5
5160.53223,-111.06492,9.68598E-12,1.74060E+8,6.04246E-5
5161.18262,-112.06568,9.67132E-12,3.89567E+7,6.05319E-5
5161.82422,-113.06615,9.67601E-12,1.13509E+7,6.03529E-5
5162.47656,-114.08283,1.25200E-11,1.34093E+6,6.02901E-5
5163.12109,-115.07919,-7.04391E-11,6381.94000,-3.61066E-5
5163.84668,-115.05556,5.00768E-10,5560.48000,-6.31472E-5
5164.53320,-115.01170,4.85403E-10,5768.04000,-6.89222E-5
5165.25293,-114.99261,4.60699E-10,6006.23000,-7.39245E-5
5165.94238,-114.97643,1.75261E-11,7221.66000,-7.84852E-5
5166.64551,-114.91500,3.82882E-11,7690.54000,-8.25678E-5
