Timestamp (s),Voltage (V), Capacitance (F), Resistance (Ohms), Total Current (A)
6630.12402,-0.69754,0.00000,0.00000,7.33102E-5
6630.43652,-1.62955,4.22175E-10,432728.00000,6.97581E-5
6631.07910,2.11000,3.77302E-10,557934.00000,6.97813E-5
6631.72559,-3.34272,3.55034E-10,626314.00000,5.91466E-5
6632.36816,-4.33875,3.32165E-10,714730.00000,5.92293E-5
6633.01758,-5.33481,3.14552E-10,790410.00000,5.92835E-5
6633.65820,-6.33316,3.00226E-10,864646.00000,5.91999E-5
6634.31250,-7.33613,2.88013E-10,933148.00000,5.92066E-5
6634.96094,-8.33492,2.77325E-10,999034.00000,5.92545E-5
6635.60156,-9.33589,2.67707E-10,1.07346E+6,5.92924E-5
6636.24219,-10.33320,2.58835E-10,1.14576E+6,5.92212E-5
6636.88477,-11.33188,2.50563E-10,1.21681E+6,5.92132E-5
6637.52637,-12.33309,2.42635E-10,1.30191E+6,5.93225E-5
6638.16797,-13.33791,2.34844E-10,1.39027E+6,5.93748E-5
6638.82129,-14.34040,2.27126E-10,1.48682E+6,5.93655E-5
6639.46582,-15.34002,2.19263E-10,1.60155E+6,5.93062E-5
6640.10742,-16.34037,2.10947E-10,1.74877E+6,5.94029E-5
6640.75391,-17.34457,2.01898E-10,1.92249E+6,5.92691E-5
6641.39844,-18.34078,1.91408E-10,2.17564E+6,5.92502E-5
6642.05078,-19.34428,1.78075E-10,2.56042E+6,5.93901E-5
6642.69336,-20.34398,1.53920E-10,2.66909E+6,5.93487E-5
6643.34863,-21.34095,8.50008E-11,4.03965E+6,5.93197E-5
6644.03711,-22.06549,4.06291E-11,-3.97979E+7,6.01493E-5
6644.72559,-23.05927,9.97101E-12,-6.25581E+9,6.00049E-5
6645.39746,-24.05477,9.83878E-12,-1.71262E+8,6.00115E-5
6646.03906,-25.06602,9.82270E-12,-2.86027E+8,6.01833E-5
6646.67871,-26.04879,9.78968E-12,-5.05306E+8,6.00546E-5
6647.33008,-27.03688,9.75198E-12,-2.75396E+8,6.01697E-5
6647.97070,-28.04219,9.75864E-12,-3.97297E+8,6.01633E-5
6648.62207,-29.06785,9.74521E-12,-2.56082E+8,6.01626E-5
6649.26758,-30.05690,9.74560E-12,-7.38135E+8,6.02131E-5
6649.92188,-31.04620,9.72263E-12,-6.12216E+8,6.00241E-5
6650.56543,-32.04490,9.72131E-12,-1.55895E+8,6.02094E-5
6651.20508,-33.05654,9.73789E-12,-1.93794E+8,6.02199E-5
6651.84570,-34.04229,9.72881E-12,-7.52121E+8,6.00618E-5
6652.48828,-35.08057,9.71057E-12,-5.38141E+8,6.01958E-5
6653.13379,-36.05329,9.70863E-12,-9.88639E+8,6.03004E-5
6653.77637,-37.05780,9.70195E-12,-3.18094E+8,6.01014E-5
6654.43066,-38.06342,9.66288E-12,-4.04451E+8,6.03136E-5
6655.07227,-39.07222,9.73340E-12,-7.69480E+8,6.01781E-5
6655.72656,-40.07226,9.71708E-12,-3.79941E+8,6.01648E-5
6656.36816,-41.05743,9.64891E-12,-2.72586E+8,6.02849E-5
6657.02246,-42.07452,9.73917E-12,-4.29527E+8,6.02280E-5
6657.66895,-43.04891,9.69328E-12,-2.57763E+8,6.02526E-5
6658.30859,-44.06727,9.74808E-12,-3.41507E+8,6.02024E-5
6658.95898,-45.07044,9.69826E-12,-1.58745E+9,6.02390E-5
6659.59863,-46.05328,9.74537E-12,-9.72911E+8,6.04355E-5
6660.24121,-47.06632,9.69600E-12,-4.59090E+8,6.02410E-5
6660.88477,-48.07561,9.67582E-12,3.83979E+9,6.03673E-5
6661.52539,-49.06654,9.62919E-12,-3.26161E+8,6.04037E-5
