Timestamp (s),Voltage (V), Capacitance (F), Resistance (Ohms), Total Current (A)
3051.42188,0.21100,0.00000,0.00000,7.40222E-5
3051.73047,-1.62410,4.28074E-10,3.22046E+6,6.95433E-5
3052.37793,2.11000,3.81244E-10,4.94345E+6,6.96765E-5
3053.02051,-3.33501,3.57667E-10,4.79823E+6,5.90530E-5
3053.66113,-4.33588,3.34446E-10,6.45644E+6,5.89459E-5
3054.30176,-5.33663,3.16407E-10,7.49762E+6,5.90921E-5
3054.95313,-6.33550,3.01770E-10,8.62613E+6,5.89799E-5
3055.59668,-7.33568,2.89184E-10,9.66708E+6,5.91042E-5
3056.25098,-8.33310,2.78272E-10,1.07669E+7,5.91907E-5
3056.89551,-9.33496,2.68491E-10,1.19839E+7,5.90429E-5
3057.54785,-10.33546,2.59435E-10,1.28620E+7,5.90694E-5
3058.19629,-11.33440,2.51023E-10,1.44791E+7,5.91288E-5
3058.84570,-12.33906,2.42970E-10,1.68537E+7,5.91624E-5
3059.48730,-13.34136,2.35015E-10,1.88129E+7,5.91371E-5
3060.13574,-14.34244,2.27168E-10,2.36512E+7,5.92281E-5
3060.77832,-15.34352,2.19219E-10,2.51247E+7,5.92949E-5
3061.42383,-16.33994,2.10778E-10,3.25687E+7,5.91435E-5
3062.06836,-17.34004,2.01617E-10,4.34539E+7,5.91050E-5
3062.72168,-18.33909,1.90984E-10,1.30504E+8,5.92706E-5
3063.36621,-19.33891,1.77031E-10,5.45703E+8,5.91343E-5
3064.01855,-20.33866,1.47116E-10,6.65255E+6,5.92379E-5
3064.66016,-21.34204,7.60271E-11,6.88034E+7,5.93122E-5
3065.33594,-22.05600,2.70714E-11,3.21521E+7,5.98640E-5
3066.00781,-23.05379,1.34293E-11,-1.91468E+8,5.98878E-5
3066.64941,-24.05186,1.32911E-11,-1.80428E+9,5.98034E-5
3067.29199,-25.06042,1.31804E-11,-4.98757E+8,5.98113E-5
3067.93848,-26.06323,1.31915E-11,-2.77118E+8,5.98009E-5
3068.59180,-27.04475,1.31527E-11,-1.47012E+8,5.99824E-5
3069.24023,-28.04829,1.31419E-11,-3.47468E+8,5.98889E-5
3069.89355,-29.06505,1.31324E-11,-1.65498E+8,5.98819E-5
3070.53711,-30.05729,1.30534E-11,-3.17804E+8,6.00718E-5
3071.18555,-31.06462,1.30962E-11,-2.63824E+8,5.99447E-5
3071.83105,-32.06942,1.30929E-11,-3.64651E+8,6.00020E-5
3072.47266,-33.03776,1.30669E-11,-1.49349E+8,5.99603E-5
3073.12012,-34.05247,1.30805E-11,-2.07790E+8,5.98910E-5
3073.75977,-35.06083,1.30356E-11,-3.60919E+8,6.01190E-5
3074.39941,-36.03571,1.30443E-11,-2.05798E+8,5.99928E-5
3075.05273,-37.05430,1.30136E-11,-1.60741E+8,6.00089E-5
3075.69531,-38.06529,1.30701E-11,-2.21792E+8,6.01168E-5
3076.33496,-39.07351,1.30625E-11,-8.61759E+8,6.00674E-5
3076.97656,-40.06514,1.30452E-11,-4.03932E+8,6.00983E-5
3077.62207,-41.05032,1.30526E-11,-4.80687E+8,5.99958E-5
3078.26367,-42.06870,1.29750E-11,-2.40203E+8,5.99345E-5
3078.90918,-43.06417,1.29752E-11,-6.31820E+8,6.00086E-5
3079.55371,-44.07169,1.29665E-11,-2.51235E+8,6.00813E-5
3080.19336,-45.06620,1.29739E-11,-3.18482E+8,6.00289E-5
3080.83203,-46.06516,1.30284E-11,-8.30701E+8,6.02017E-5
3081.47559,-47.06129,1.29452E-11,-2.53432E+8,6.00462E-5
3082.11816,-48.06155,1.29923E-11,-2.40394E+8,6.00267E-5
3082.77051,-49.05614,1.29932E-11,-3.26652E+8,6.00557E-5
3083.41113,-50.05019,1.29700E-11,-8.17871E+8,6.02074E-5
3084.05273,-51.06320,1.29477E-11,-3.94399E+8,6.01235E-5
3084.69531,-52.05573,1.29496E-11,-3.62224E+8,6.00929E-5
3085.34570,-53.07147,1.28773E-11,-5.55515E+8,6.02201E-5
3085.98730,-54.06617,1.29518E-11,-1.50211E+8,6.02366E-5
3086.62695,-55.05629,1.29114E-11,-3.06699E+8,6.00725E-5
3087.27148,-56.05202,1.29613E-11,-1.58428E+8,6.02042E-5
3087.91113,-57.07107,1.29670E-11,-2.79179E+8,6.01539E-5
3088.55371,-58.06203,1.29056E-11,-2.07878E+8,6.00749E-5
3089.19531,-59.05293,1.29307E-11,-1.18799E+9,6.01313E-5
3089.83594,-60.06273,1.29785E-11,-2.21010E+8,6.01804E-5
3090.47656,-61.06175,1.29240E-11,-2.74077E+8,6.00585E-5
3091.12695,-62.05572,1.29556E-11,-2.33159E+8,6.01823E-5
3091.77344,-63.06583,1.29030E-11,-2.48823E+8,6.03094E-5
3092.41797,-64.06010,1.29145E-11,5.95657E+8,6.01798E-5
3093.06348,-65.06502,1.28873E-11,-9.47665E+9,6.02169E-5
3093.70605,-66.05395,1.29007E-11,-3.16594E+8,6.01135E-5
3094.34570,-67.04340,1.29235E-11,-1.77351E+8,6.01363E-5
3094.99707,-68.05054,1.28951E-11,-6.88108E+8,6.00900E-5
3095.63770,-69.07679,1.29041E-11,-3.14397E+8,6.02763E-5
3096.27930,-70.04768,1.28945E-11,-1.11414E+9,6.02031E-5
3096.92090,-71.06170,1.29236E-11,-1.70185E+8,6.03456E-5
