Timestamp (s),Voltage (V),SourceMeter Total Current (A), Pad PicoAmmeter Current (A), GR Calculated Current (A)
BEGIN
1436.50781,-2.56441E-5,4.78072E-11,3.02906E-9,-2.98126E-9
1437.57617,-1.00015,-1.51879E-10,2.85880E-9,-3.01068E-9
1439.45605,-2.00013,-1.99748E-10,2.10437E-9,-2.30412E-9
1440.10547,-3.00145,-2.83210E-10,2.45712E-9,-2.74033E-9
1440.74707,-4.00125,-3.46574E-10,2.28178E-9,-2.62835E-9
1441.38770,-5.00149,-4.23948E-10,2.73583E-9,-3.15978E-9
1443.26855,-6.00156,-4.19888E-10,-1.06670E-9,6.46815E-10
1444.32813,-7.00135,-4.80975E-10,-9.01025E-10,4.20050E-10
1444.96875,-8.00145,-5.10725E-10,-1.04148E-9,5.30750E-10
1445.61328,-9.00161,-5.62360E-10,-9.82744E-10,4.20385E-10
1446.25195,-10.00132,-6.07060E-10,-1.17875E-9,5.71688E-10
1446.89941,-11.00142,-6.87602E-10,-1.00491E-9,3.17311E-10
1447.54297,-12.00153,-7.00223E-10,-1.00425E-9,3.04028E-10
1448.18750,-13.00127,-7.47698E-10,-8.50255E-10,1.02557E-10
1448.82910,-14.00138,-7.96954E-10,-1.06530E-9,2.68349E-10
1449.47266,-15.00121,-8.69973E-10,-9.13421E-10,4.34481E-11
1450.12207,-16.00122,-9.19225E-10,-1.01858E-9,9.93560E-11
1450.76465,-17.00132,-9.35216E-10,-1.04700E-9,1.11784E-10
1451.41211,-18.00107,-1.00304E-9,-9.85127E-10,-1.79096E-11
1452.05469,-19.00106,-1.01843E-9,-9.12009E-10,-1.06421E-10
1452.69531,-20.00121,-1.09343E-9,-9.61236E-10,-1.32191E-10
1453.33691,-21.00096,-1.13313E-9,1.92341E-9,-3.05654E-9
1453.97949,-22.06525,-1.38495E-9,2.48043E-9,-3.86538E-9
1455.45215,-23.07034,-1.33892E-9,2.05473E-9,-3.39364E-9
1456.51270,-24.05818,-9.16109E-10,2.09256E-9,-3.00867E-9
1457.15527,-25.06523,-1.08605E-9,-9.07032E-10,-1.79020E-10
1457.79688,-26.07063,-1.63623E-9,-1.11535E-9,-5.20881E-10
1458.43652,-27.05744,-1.08516E-9,-7.59742E-10,-3.25418E-10
1459.08105,-28.06331,-1.07704E-9,2.09255E-9,-3.16959E-9
1459.72363,-29.06930,-1.29946E-9,2.03581E-9,-3.33527E-9
1460.36816,-30.05896,-1.33114E-9,-8.70841E-10,-4.60301E-10
1461.01074,-31.06602,-1.74519E-9,-8.28336E-10,-9.16852E-10
1461.65430,-32.06996,-1.74177E-9,-7.73695E-10,-9.68075E-10
