Timestamp (s),Voltage (V),SourceMeter Total Current (A), Pad PicoAmmeter Current (A), GR Calculated Current (A)
BEGIN
4653.88086,-2.30672E-5,1.06754E-10,2.66332E-9,-2.55656E-9
4654.95215,-1.00016,-1.39154E-10,4.27240E-9,-4.41156E-9
4655.59863,-2.00013,-1.90538E-10,-3.06215E-9,2.87161E-9
4656.24316,-3.00154,-2.60832E-10,2.66834E-9,-2.92917E-9
4658.12891,-4.00138,-3.01721E-10,4.24461E-9,-4.54633E-9
4658.77441,-5.00156,-3.69787E-10,2.95463E-9,-3.32441E-9
4660.66113,-6.00165,-4.11418E-10,4.15822E-9,-4.56964E-9
4661.30273,-7.00146,-4.64139E-10,2.97881E-9,-3.44295E-9
4663.18848,-8.00155,-5.09186E-10,4.30584E-9,-4.81502E-9
4663.83105,-9.00169,-5.66066E-10,3.07005E-9,-3.63611E-9
4665.71387,-10.00138,-6.09626E-10,3.62599E-9,-4.23561E-9
4666.35645,-11.00156,-6.65219E-10,3.02448E-9,-3.68970E-9
4668.24219,-12.00162,-7.01205E-10,4.30986E-9,-5.01107E-9
4668.88477,-13.00138,-7.63529E-10,-2.57036E-9,1.80683E-9
4669.52637,-14.00142,-8.32288E-10,4.34892E-9,-5.18120E-9
4670.16992,-15.00126,-8.99166E-10,-3.24187E-9,2.34270E-9
4670.81055,-16.00126,-9.44610E-10,3.11120E-9,-4.05581E-9
4672.69531,-17.00136,-9.62827E-10,4.34323E-9,-5.30605E-9
4673.33691,-18.00109,-1.02327E-9,-2.82806E-9,1.80479E-9
4673.98047,-19.00114,-1.10123E-9,4.25569E-9,-5.35693E-9
4674.62500,-20.00126,-1.17262E-9,3.04228E-9,-4.21490E-9
4676.50488,-21.00096,-1.18974E-9,3.07197E-9,-4.26172E-9
4678.38379,-22.07211,-1.36568E-9,3.14877E-9,-4.51444E-9
4680.26465,-23.07533,-1.19044E-9,2.94717E-9,-4.13761E-9
4682.14648,-24.06543,-9.61884E-10,2.31977E-9,-3.28165E-9
4682.79004,-25.07077,-1.18178E-9,-3.28916E-9,2.10738E-9
4683.43262,-26.07494,-1.09753E-9,4.34662E-9,-5.44415E-9
4684.07227,-27.06391,-1.67883E-9,3.16572E-9,-4.84455E-9
4685.95313,-28.06977,-1.69576E-9,3.07463E-9,-4.77039E-9
4687.83398,-29.07666,-1.76229E-9,3.07231E-9,-4.83460E-9
4689.71484,-30.06678,-1.88258E-9,2.63186E-9,-4.51445E-9
4690.36035,-31.07096,-1.36236E-9,-3.30807E-9,1.94571E-9
4691.00195,-32.07479,-1.56978E-9,4.36332E-9,-5.93310E-9
4691.64551,-33.06532,-1.72329E-9,-2.07848E-9,3.55194E-10
4692.28711,-34.06969,-2.12609E-9,-3.18511E-9,1.05903E-9
4692.93164,-35.07875,-1.83357E-9,4.36648E-9,-6.20006E-9
4693.57422,-36.06826,-1.93995E-9,-3.40266E-9,1.46271E-9
4694.21484,-37.07291,-2.13688E-9,2.92329E-9,-5.06017E-9
4696.09668,-38.07977,-2.21495E-9,2.94395E-9,-5.15890E-9
4696.74121,-39.08757,-1.82189E-9,-3.39319E-9,1.57130E-9
4697.38379,-40.07178,-1.77521E-9,4.29546E-9,-6.07068E-9
4698.02539,-41.07599,-2.05654E-9,3.05962E-9,-5.11616E-9
4699.90723,-42.08505,-1.84917E-9,2.88391E-9,-4.73308E-9
4701.78809,-43.07220,-2.12930E-9,3.10330E-9,-5.23260E-9
4703.67383,-44.07686,-2.01813E-9,4.18589E-9,-6.20402E-9
4704.31445,-45.08490,-2.02688E-9,-3.40265E-9,1.37577E-9
4704.95801,-46.06817,-2.10441E-9,4.24252E-9,-6.34692E-9
4705.60645,-47.07669,-2.36424E-9,2.33869E-9,-4.70293E-9
4706.25098,-48.08445,-2.20355E-9,-3.43103E-9,1.22748E-9
4706.89258,-49.07024,-2.34796E-9,4.19301E-9,-6.54097E-9
