Timestamp (s),Voltage (V),SourceMeter Total Current (A), Pad PicoAmmeter Current (A), GR Calculated Current (A)
BEGIN
496.87988,-2.89119E-5,2.00248E-10,1.43017E-9,-1.22992E-9
499.18750,-1.00016,-6.48440E-10,-1.26515E-9,6.16707E-10
500.24512,-2.00013,-1.17743E-9,-1.54894E-9,3.71515E-10
500.88867,-3.00155,-1.74636E-9,-1.51110E-9,-2.35258E-10
501.53223,-4.00139,-2.37267E-9,-1.47326E-9,-8.99411E-10
502.17480,-5.00159,-2.90919E-9,-1.45434E-9,-1.45484E-9
502.81738,-6.00165,-3.47891E-9,-1.55840E-9,-1.92051E-9
503.45996,-7.00146,-4.14195E-9,-1.45434E-9,-2.68761E-9
504.10352,-8.00157,-4.71875E-9,-1.53948E-9,-3.17927E-9
504.74414,-9.00170,-5.30221E-9,-1.67192E-9,-3.63028E-9
505.38770,-10.00142,-5.88693E-9,-1.62462E-9,-4.26231E-9
506.03125,-11.00152,-6.54013E-9,-1.49218E-9,-5.04795E-9
506.67285,-12.00165,-7.08690E-9,-1.61516E-9,-5.47174E-9
507.31543,-13.00140,-7.70168E-9,-1.50164E-9,-6.20004E-9
507.95801,-14.00149,-8.24588E-9,-1.42596E-9,-6.81992E-9
508.59668,-15.00123,-8.80157E-9,-1.48272E-9,-7.31885E-9
509.23535,-16.00132,-9.38931E-9,-1.59624E-9,-7.79307E-9
509.87891,-17.00137,-9.87764E-9,-1.52056E-9,-8.35708E-9
510.52246,-18.00114,-1.03197E-8,-1.53002E-9,-8.78964E-9
511.16406,-19.00119,-1.07797E-8,-1.70030E-9,-9.07938E-9
511.80664,-20.00131,-1.11707E-8,-1.68138E-9,-9.48929E-9
512.44922,-21.00101,-1.16528E-8,-1.56786E-9,-1.00849E-8
513.08887,-22.07101,-1.19990E-8,-1.62462E-9,-1.03744E-8
513.72949,-23.07633,-1.27248E-8,-1.67965E-9,-1.10451E-8
514.37207,-24.06487,-1.42228E-8,4.80071E-10,-1.47028E-8
515.01563,-25.07184,-1.34881E-8,1.49571E-9,-1.49838E-8
516.48633,-26.07796,-1.35663E-8,2.71204E-9,-1.62784E-8
517.12793,-27.06377,-1.39156E-8,2.61036E-9,-1.65259E-8
517.77441,-28.07016,-1.45194E-8,2.69643E-9,-1.72158E-8
518.41602,-29.07737,-1.50277E-8,2.52642E-9,-1.75541E-8
519.05859,-30.06481,-1.49326E-8,2.66430E-9,-1.75969E-8
519.70117,-31.07029,-1.52048E-8,2.64433E-9,-1.78491E-8
520.34375,-32.07535,-1.59761E-8,2.65462E-9,-1.86307E-8
520.98730,-33.06441,-1.58769E-8,2.68619E-9,-1.85631E-8
521.62891,-34.07001,-1.60952E-8,-1.85165E-9,-1.42435E-8
