Timestamp (s),Voltage (V),SourceMeter Total Current (A), Pad PicoAmmeter Current (A), GR Calculated Current (A)
BEGIN
13.42676,-3.04976E-5,4.33813E-10,4.34361E-9,-3.90980E-9
15.74414,-1.00013,-4.80579E-10,4.14496E-9,-4.62554E-9
17.62305,-2.00011,-9.43730E-10,3.70982E-9,-4.65355E-9
18.26660,-3.00129,-1.41371E-9,3.77603E-9,-5.18974E-9
18.90820,-4.00114,-1.84815E-9,3.92740E-9,-5.77555E-9
20.78809,-5.00133,-2.19789E-9,3.54901E-9,-5.74690E-9
21.43164,-6.00141,-2.68055E-9,3.41657E-9,-6.09712E-9
22.07227,-7.00124,-3.13389E-9,3.48279E-9,-6.61669E-9
22.71484,-8.00136,-3.59720E-9,3.60577E-9,-7.20297E-9
23.35938,-9.00145,-3.99040E-9,3.49226E-9,-7.48265E-9
24.00879,-10.00119,-4.46484E-9,3.46388E-9,-7.92871E-9
24.65137,-11.00128,-4.89096E-9,3.65308E-9,-8.54404E-9
26.53809,-12.00144,-5.18586E-9,3.55848E-9,-8.74434E-9
27.17969,-13.00117,-5.62851E-9,3.44496E-9,-9.07347E-9
27.82031,-14.00124,-6.10043E-9,3.31253E-9,-9.41296E-9
28.46094,-15.00106,-6.51477E-9,3.79498E-9,-1.03098E-8
30.34863,-16.00109,-6.85896E-9,3.32199E-9,-1.01810E-8
30.99316,-17.00121,-7.32132E-9,3.02874E-9,-1.03501E-8
31.63477,-18.00097,-7.78197E-9,3.16118E-9,-1.09432E-8
32.27344,-19.00103,-8.21743E-9,3.04767E-9,-1.12651E-8
32.91406,-20.00113,-8.66838E-9,3.05712E-9,-1.17255E-8
33.56348,-21.00083,-9.11254E-9,3.03821E-9,-1.21507E-8
34.20508,-22.06124,-9.41782E-9,2.77452E-9,-1.21923E-8
34.85254,-23.06589,-1.02037E-8,3.36930E-9,-1.35730E-8
36.74023,-24.05360,-1.01271E-8,2.84902E-9,-1.29761E-8
37.38281,-25.06191,-1.08276E-8,2.89632E-9,-1.37239E-8
38.02832,-26.06748,-1.11451E-8,2.95308E-9,-1.40982E-8
38.66895,-27.05327,-1.15468E-8,3.04768E-9,-1.45945E-8
39.30957,-28.05914,-1.17304E-8,2.67875E-9,-1.44092E-8
39.95117,-29.06612,-1.26879E-8,2.89632E-9,-1.55843E-8
40.59082,-30.05516,-1.25181E-8,2.87741E-9,-1.53955E-8
41.23145,-31.06093,-1.35586E-8,2.95308E-9,-1.65117E-8
41.87402,-32.06520,-1.35715E-8,2.96254E-9,-1.65341E-8
42.51270,-33.05523,-1.42702E-8,2.78281E-9,-1.70530E-8
43.15430,-34.06107,-1.45017E-8,2.78282E-9,-1.72845E-8
43.79883,-35.06658,-1.49450E-8,2.82065E-9,-1.77657E-8
44.44141,-36.05807,-1.51801E-8,2.65983E-9,-1.78399E-8
45.08496,-37.06145,-1.56282E-8,2.83011E-9,-1.84583E-8
45.72461,-38.06887,-1.58936E-8,2.64092E-9,-1.85345E-8
46.37109,-39.07481,-1.62578E-8,2.68821E-9,-1.89461E-8
47.01367,-40.06093,-1.65660E-8,2.83957E-9,-1.94056E-8
47.65820,-41.06544,-1.69383E-8,2.68823E-9,-1.96266E-8
48.29980,-42.07479,-1.73720E-8,2.81120E-9,-2.01832E-8
48.94336,-43.06438,-1.78854E-8,2.68822E-9,-2.05736E-8
49.58887,-44.06846,-1.80701E-8,2.57471E-9,-2.06448E-8
50.23047,-45.07666,-1.89256E-8,2.64093E-9,-2.15665E-8
50.87402,-46.06170,-1.93421E-8,2.48958E-9,-2.18317E-8
51.51953,-47.06846,-1.97970E-8,2.51796E-9,-2.23149E-8
52.16309,-48.07543,-2.02026E-8,2.52742E-9,-2.27300E-8
52.80176,-49.06292,-1.99591E-8,2.45175E-9,-2.24109E-8
53.44336,-50.06902,-2.07160E-8,2.60310E-9,-2.33191E-8
54.08594,-51.07301,-2.12726E-8,2.86797E-9,-2.41406E-8
55.96875,-52.06245,-2.14875E-8,2.00715E-9,-2.34947E-8
56.60840,-53.06526,-2.14207E-8,2.78284E-9,-2.42036E-8
58.48828,-54.07430,-2.22266E-8,1.29625E-9,-2.35228E-8
59.54590,-55.06319,-2.25515E-8,2.96614E-10,-2.28481E-8
60.18945,-56.06815,-2.30860E-8,2.81122E-9,-2.58972E-8
61.65820,-57.07741,-2.29367E-8,2.36662E-9,-2.53033E-8
62.30469,-58.06375,-2.36741E-8,2.80177E-9,-2.64759E-8
64.19043,-59.06924,-2.40475E-8,2.58419E-9,-2.66317E-8
64.83203,-60.07385,-2.40688E-8,2.93420E-9,-2.70030E-8
66.71582,-61.06175,-2.45691E-8,2.39501E-9,-2.69641E-8
67.35840,-62.06820,-2.49447E-8,2.74502E-9,-2.76898E-8
69.24219,-63.07513,-2.54723E-8,2.77340E-9,-2.82457E-8
71.12598,-64.06236,-2.51583E-8,2.34772E-9,-2.75060E-8
71.76953,-65.06606,-2.58129E-8,2.67881E-9,-2.84917E-8
73.65332,-66.07514,-2.64814E-8,2.54637E-9,-2.90278E-8
75.54102,-67.06245,-2.62700E-8,2.31934E-9,-2.85894E-8
76.18262,-68.06496,-2.66592E-8,2.75449E-9,-2.94137E-8
78.06641,-69.07414,-2.75364E-8,2.67882E-9,-3.02153E-8
79.95117,-70.05954,-2.74746E-8,2.66936E-9,-3.01440E-8
81.83398,-71.06754,-2.82117E-8,2.75450E-9,-3.09662E-8
83.71387,-72.07420,-2.87678E-8,2.45179E-9,-3.12196E-8
85.59473,-73.06313,-2.87726E-8,2.61261E-9,-3.13852E-8
87.47363,-74.06772,-2.91752E-8,2.54639E-9,-3.17216E-8
89.35840,-75.07568,-2.92001E-8,2.41397E-9,-3.16140E-8
91.24219,-76.06438,-2.94930E-8,2.66938E-9,-3.21624E-8
93.12207,-77.06817,-3.02225E-8,2.04501E-9,-3.22675E-8
94.18066,-78.07708,-3.08133E-8,2.38560E-9,-3.31989E-8
95.65234,-79.06367,-3.08219E-8,2.48019E-9,-3.33021E-8
97.53711,-80.06897,-3.08176E-8,2.08285E-9,-3.29004E-8
98.59473,-81.07527,-3.13107E-8,2.49911E-9,-3.38098E-8
100.06836,-82.06273,-3.28252E-8,2.01664E-9,-3.48418E-8
101.12305,-83.06915,-3.32881E-8,1.97882E-9,-3.52669E-8
101.76465,-84.07510,-3.32511E-8,1.50590E-9,-3.47570E-8
102.40625,-85.08339,-3.35209E-8,-1.39977E-9,-3.21211E-8
103.05078,-86.06953,-3.39418E-8,-1.23564E-9,-3.27062E-8
103.69434,-87.07639,-3.42799E-8,-1.27823E-9,-3.30017E-8
104.33594,-88.08095,-3.44624E-8,1.97882E-9,-3.64412E-8
104.97656,-89.06704,-3.50316E-8,1.95045E-9,-3.69821E-8
105.61719,-90.07684,-3.55107E-8,-5.41961E-10,-3.49688E-8
106.26563,-91.08188,-3.56432E-8,-1.41674E-9,-3.42264E-8
106.90625,-92.06915,-3.61282E-8,-1.42104E-9,-3.47071E-8
107.54688,-93.07637,-3.67410E-8,-7.11264E-10,-3.60298E-8
108.18945,-94.08360,-3.68415E-8,1.82749E-9,-3.86690E-8
108.83203,-95.06963,-3.72377E-8,1.66670E-9,-3.89044E-8
109.47559,-96.07533,-3.75067E-8,-1.24781E-9,-3.62589E-8
110.12012,-97.08249,-3.79384E-8,-1.66906E-9,-3.62693E-8
110.76172,-98.06858,-3.83254E-8,-1.51545E-9,-3.68099E-8
111.40430,-99.07616,-3.88248E-8,1.67616E-9,-4.05010E-8
112.04590,-100.08194,-3.96538E-8,1.43025E-9,-4.10840E-8
112.69043,-101.06658,-4.11702E-8,7.49251E-10,-4.19195E-8
113.33398,-102.07346,-4.12928E-8,-1.77437E-9,-3.95184E-8
113.97559,-103.07951,-4.17588E-8,-1.86164E-9,-3.98972E-8
114.61816,-104.07002,-4.24268E-8,1.13470E-9,-4.35615E-8
115.26074,-105.07610,-4.29725E-8,1.15596E-9,-4.41284E-8
115.90527,-106.08002,-4.32784E-8,1.09922E-9,-4.43777E-8
116.54688,-107.06645,-4.37891E-8,1.12750E-9,-4.49166E-8
118.01953,-108.07455,-4.46884E-8,-2.51605E-9,-4.21723E-8
118.66309,-109.08134,-4.54154E-8,-2.78887E-9,-4.26266E-8
119.30664,-110.06839,-4.58619E-8,-5.65726E-10,-4.52962E-8
121.49414,-111.07577,-4.69151E-8,-3.73995E-9,-4.31751E-8
122.13672,-112.08109,-4.87802E-8,-4.86151E-9,-4.39187E-8
122.77832,-113.07029,-5.15645E-8,-6.94113E-9,-4.46233E-8
123.41895,-114.07598,-5.73351E-8,-9.68703E-9,-4.76481E-8
124.06152,-115.08226,-6.94778E-8,-2.46547E-8,-4.48231E-8
125.48438,-116.06903,-1.07567E-7,-6.19641E-8,-4.56026E-8
126.12598,-117.08031,-3.15320E-7,-2.73822E-7,-4.14981E-8
127.54297,-117.53671,-1.00002E-6,-9.54824E-7,-4.51911E-8
