Timestamp (s),Voltage (V), Capacitance (F), Resistance (Ohms), Total Current (A)
7069.92480,0.21100,0.00000,0.00000,7.33503E-5
7070.25000,-1.62387,4.22544E-10,431610.00000,6.96058E-5
7070.92090,2.11000,3.77374E-10,557098.00000,6.95634E-5
7071.56543,-3.34091,3.55081E-10,625743.00000,5.91532E-5
7072.20410,-4.33549,3.32191E-10,712583.00000,5.91058E-5
7072.84473,-5.33763,3.14549E-10,791126.00000,5.90406E-5
7073.49609,-6.33347,3.00222E-10,865251.00000,5.91243E-5
7074.13867,-7.33281,2.87996E-10,934024.00000,5.90030E-5
7074.78125,-8.33363,2.77265E-10,1.00165E+6,5.91489E-5
7075.42188,-9.33438,2.67663E-10,1.07183E+6,5.90513E-5
7076.06445,-10.33031,2.58841E-10,1.14365E+6,5.90948E-5
7076.70313,-11.33154,2.50564E-10,1.22346E+6,5.90419E-5
7077.34668,-12.33282,2.42626E-10,1.30131E+6,5.91980E-5
7077.99609,-13.33121,2.34901E-10,1.39247E+6,5.90459E-5
7078.64063,-14.33125,2.27194E-10,1.49021E+6,5.90606E-5
7079.28809,-15.33291,2.19263E-10,1.59915E+6,5.92321E-5
7079.93359,-16.33850,2.10984E-10,1.73956E+6,5.91404E-5
7080.58594,-17.33743,2.01955E-10,1.92594E+6,5.90916E-5
7081.23242,-18.33938,1.91396E-10,2.17226E+6,5.91087E-5
7081.87402,-19.33959,1.78064E-10,2.55731E+6,5.90975E-5
7082.51367,-20.34163,1.54022E-10,2.69179E+6,5.92712E-5
7083.15625,-21.33834,8.52051E-11,4.02137E+6,5.91546E-5
7083.83398,-22.06199,4.05993E-11,-3.45852E+7,5.99093E-5
7084.50879,-23.05958,9.93215E-12,-5.15688E+8,6.00484E-5
7085.17676,-24.04043,9.81207E-12,1.07787E+9,5.99441E-5
7085.81738,-25.06281,9.80244E-12,-8.05236E+8,5.99186E-5
7086.46875,-26.07061,9.72636E-12,-5.83320E+8,6.00721E-5
7087.11133,-27.05280,9.76146E-12,-3.69019E+9,6.01463E-5
7087.75488,-28.06182,9.77359E-12,-3.70075E+8,6.01242E-5
7088.39551,-29.06210,9.72213E-12,-4.57424E+8,6.01193E-5
7089.03613,-30.04602,9.74579E-12,-2.07322E+8,6.01075E-5
7089.67969,-31.06567,9.71167E-12,-2.25243E+9,6.00553E-5
7090.32324,-32.05608,9.67530E-12,-4.85612E+8,6.01979E-5
7090.96484,-33.05099,9.71496E-12,-1.16555E+9,6.00221E-5
7091.61914,-34.04422,9.67391E-12,-4.25447E+8,6.00842E-5
7092.25879,-35.05328,9.70828E-12,-6.37862E+8,6.01163E-5
7092.90332,-36.04578,9.72498E-12,-2.73409E+8,6.00508E-5
7093.54492,-37.05083,9.71298E-12,-8.87163E+8,6.01987E-5
7094.18848,-38.05129,9.68561E-12,3.52099E+9,6.00146E-5
7094.82910,-39.08828,9.70090E-12,-3.20271E+8,6.02075E-5
7095.47168,-40.04225,9.67349E-12,-3.99787E+8,6.01497E-5
7096.11328,-41.05753,9.68476E-12,-3.67945E+8,6.02230E-5
7096.76758,-42.06863,9.67082E-12,-4.23342E+8,6.02534E-5
7097.40820,-43.05669,9.68826E-12,2.23878E+9,6.00972E-5
