Timestamp (s),Voltage (V),SourceMeter Total Current (A), Pad PicoAmmeter Current (A), GR Calculated Current (A)
BEGIN
1009.60645,-3.04984E-5,1.84573E-11,3.18980E-9,-3.17134E-9
1010.67188,-1.00014,-1.50889E-10,3.28440E-9,-3.43529E-9
1012.55664,-2.00012,-2.15590E-10,3.11412E-9,-3.32971E-9
1014.43750,-3.00139,-2.86578E-10,2.95331E-9,-3.23989E-9
1016.32227,-4.00125,-3.11974E-10,2.93440E-9,-3.24637E-9
1018.20801,-5.00139,-3.56973E-10,3.00061E-9,-3.35759E-9
1020.09375,-6.00150,-3.79397E-10,3.09521E-9,-3.47461E-9
1021.97559,-7.00131,-4.24296E-10,2.83980E-9,-3.26410E-9
1023.85645,-8.00142,-4.94145E-10,3.12359E-9,-3.61773E-9
1025.73535,-9.00157,-5.39591E-10,3.03845E-9,-3.57804E-9
1027.61719,-10.00130,-5.68797E-10,2.85873E-9,-3.42752E-9
1029.50195,-11.00139,-5.78054E-10,2.85873E-9,-3.43678E-9
1031.38379,-12.00150,-6.43694E-10,2.92494E-9,-3.56864E-9
1033.26172,-13.00122,-6.66120E-10,2.81143E-9,-3.47755E-9
1035.14160,-14.00134,-6.95577E-10,2.83981E-9,-3.53539E-9
1037.02441,-15.00113,-7.15178E-10,2.91549E-9,-3.63066E-9
1038.90234,-16.00117,-7.84185E-10,2.84927E-9,-3.63345E-9
1040.78320,-17.00131,-7.85178E-10,2.73576E-9,-3.52093E-9
1042.66406,-18.00096,-8.24085E-10,2.81143E-9,-3.63551E-9
1044.54395,-19.00110,-8.92896E-10,2.86818E-9,-3.76108E-9
1046.43164,-20.00123,-9.40222E-10,3.00062E-9,-3.94084E-9
1048.31641,-21.00090,-9.92594E-10,2.74522E-9,-3.73782E-9
1050.20117,-22.06257,-6.51319E-10,2.89657E-9,-3.54789E-9
1052.08789,-23.06846,-7.83491E-10,2.32901E-9,-3.11250E-9
1052.72852,-24.05562,-1.14304E-9,2.96279E-9,-4.10582E-9
1054.60840,-25.06372,-1.45540E-9,2.69792E-9,-4.15332E-9
1056.49023,-26.06749,-9.60222E-10,2.81144E-9,-3.77167E-9
1058.37402,-27.05461,-1.42234E-9,2.60333E-9,-4.02566E-9
1060.25684,-28.06122,-9.08784E-10,2.79252E-9,-3.70130E-9
1062.14551,-29.06731,-1.38288E-9,2.45198E-9,-3.83486E-9
1062.78809,-30.05469,-1.06715E-9,2.90603E-9,-3.97318E-9
1064.67090,-31.06308,-1.58995E-9,2.93442E-9,-4.52437E-9
1066.55664,-32.06591,-1.48773E-9,2.73576E-9,-4.22349E-9
1068.43945,-33.05470,-1.19318E-9,2.83982E-9,-4.03300E-9
1070.32227,-34.06180,-1.70723E-9,2.61279E-9,-4.32002E-9
1072.20996,-35.06937,-1.66009E-9,2.85873E-9,-4.51883E-9
1074.09668,-36.05837,-1.64173E-9,2.31955E-9,-3.96128E-9
1074.74121,-37.06097,-1.76376E-9,2.75468E-9,-4.51844E-9
1076.62305,-38.06960,-1.72499E-9,2.64117E-9,-4.36617E-9
1078.50293,-39.07761,-1.33798E-9,2.66955E-9,-4.00753E-9
1080.38477,-40.06358,-1.56881E-9,2.92495E-9,-4.49376E-9
1082.27246,-41.06653,-1.99420E-9,2.35739E-9,-4.35159E-9
1082.91699,-42.07541,-1.88207E-9,2.76414E-9,-4.64622E-9
1084.80273,-43.06655,-1.49356E-9,2.77361E-9,-4.26717E-9
1086.68359,-44.06901,-1.55411E-9,2.91550E-9,-4.46961E-9
1088.56836,-45.07782,-1.79296E-9,2.80198E-9,-4.59494E-9
1090.45117,-46.06176,-1.81876E-9,2.74523E-9,-4.56399E-9
1092.33789,-47.06908,-2.06692E-9,2.75469E-9,-4.82161E-9
1094.22168,-48.07547,-2.00776E-9,2.62226E-9,-4.63002E-9
1096.10742,-49.06429,-1.80702E-9,2.76415E-9,-4.57117E-9
1097.99414,-50.06946,-1.87727E-9,2.68848E-9,-4.56575E-9
1099.87891,-51.07409,-1.92821E-9,2.71685E-9,-4.64506E-9
1101.75977,-52.06376,-1.80410E-9,2.62226E-9,-4.42636E-9
1103.64648,-53.06659,-2.08291E-9,2.61280E-9,-4.69571E-9
1105.53320,-54.07483,-2.22632E-9,2.66010E-9,-4.88642E-9
1107.41895,-55.06277,-1.93281E-9,2.55605E-9,-4.48886E-9
1109.30371,-56.06813,-2.49076E-9,2.48983E-9,-4.98060E-9
1111.18848,-57.07639,-2.45685E-9,2.77361E-9,-5.23047E-9
1113.07617,-58.06254,-2.11815E-9,2.82091E-9,-4.93906E-9
1114.96387,-59.06885,-2.03657E-9,2.07362E-9,-4.11019E-9
1115.60742,-60.07451,-2.36240E-9,2.63173E-9,-4.99413E-9
1117.49414,-61.06181,-2.26137E-9,2.47092E-9,-4.73228E-9
1119.37695,-62.06802,-2.40482E-9,2.77362E-9,-5.17844E-9
1121.26270,-63.07412,-2.19448E-9,2.36686E-9,-4.56135E-9
1121.90723,-64.06313,-2.43106E-9,2.08304E-9,-4.51410E-9
1122.96289,-65.06573,-2.76165E-9,1.95063E-9,-4.71228E-9
1123.60449,-66.07398,-2.36324E-9,-1.09504E-9,-1.26820E-9
1124.24512,-67.06237,-2.86827E-9,-1.25441E-9,-1.61387E-9
1124.88770,-68.06561,-2.50314E-9,-1.30372E-9,-1.19942E-9
1125.53125,-69.07362,-2.81644E-9,-1.21808E-9,-1.59836E-9
1126.17480,-70.05925,-3.18005E-9,9.99881E-10,-4.17993E-9
1126.81934,-71.06617,-3.06728E-9,2.03575E-9,-5.10303E-9
1127.46191,-72.07185,-2.66912E-9,2.04521E-9,-4.71433E-9
1128.10449,-73.06138,-3.23906E-9,2.05467E-9,-5.29373E-9
1128.74609,-74.06491,-2.89407E-9,-1.45782E-9,-1.43624E-9
1129.39063,-75.07327,-2.86100E-9,-1.24659E-9,-1.61441E-9
1130.03809,-76.06232,-3.36316E-9,-1.39129E-9,-1.97187E-9
1130.68066,-77.06621,-2.99228E-9,-1.18354E-9,-1.80874E-9
1131.32324,-78.07482,-3.30068E-9,2.05466E-9,-5.35535E-9
1131.96680,-79.06103,-3.41573E-9,1.90335E-9,-5.31908E-9
1132.61328,-80.06629,-3.28529E-9,2.01684E-9,-5.30213E-9
1133.25488,-81.07334,-3.63379E-9,-1.43579E-9,-2.19801E-9
1133.89746,-82.06015,-3.94324E-9,-1.38873E-9,-2.55451E-9
1134.54004,-83.06670,-3.91660E-9,-1.52710E-9,-2.38951E-9
1135.18359,-84.07226,-3.99839E-9,1.54391E-9,-5.54230E-9
1135.82617,-85.07973,-3.74646E-9,1.63851E-9,-5.38497E-9
1136.47070,-86.06632,-3.97784E-9,1.42097E-9,-5.39881E-9
1137.11328,-87.07333,-4.60871E-9,-1.87529E-9,-2.73341E-9
1137.75684,-88.07799,-5.10320E-9,1.37363E-9,-6.47683E-9
1139.22949,-89.06441,-5.55230E-9,-2.72331E-9,-2.82900E-9
1139.87305,-90.07343,-6.45865E-9,-3.48362E-9,-2.97502E-9
1140.51660,-91.07730,-8.07296E-9,-4.94406E-9,-3.12890E-9
1141.16113,-92.06615,-1.35255E-8,-8.41529E-9,-5.11026E-9
1141.80371,-93.07332,-3.36930E-8,-3.02888E-8,-3.40422E-9
1143.22461,-94.08193,-1.74792E-7,-1.75209E-7,4.17163E-10
1143.86914,-94.62297,-1.00002E-6,-9.97132E-7,-2.88467E-9
