Timestamp (s),Voltage (V),SourceMeter Total Current (A), Pad PicoAmmeter Current (A), GR Calculated Current (A)
BEGIN
1496.00391,-2.08881E-5,1.04427E-10,1.59845E-9,-1.49402E-9
1498.32031,-1.00017,-5.19186E-10,-1.59604E-9,1.07685E-9
1499.37207,-2.00014,-9.45155E-10,-1.58658E-9,6.41422E-10
1500.01367,-3.00171,-1.32806E-9,-1.88929E-9,5.61231E-10
1500.65430,-4.00154,-1.78314E-9,-1.60550E-9,-1.77638E-10
1501.29883,-5.00170,-2.07347E-9,-1.70956E-9,-3.63909E-10
1501.94141,-6.00179,-2.56874E-9,-1.70010E-9,-8.68641E-10
1502.58301,-7.00161,-2.98729E-9,-1.76632E-9,-1.22098E-9
1503.22559,-8.00170,-3.36543E-9,-1.62442E-9,-1.74102E-9
1503.86914,-9.00180,-3.66023E-9,-1.85146E-9,-1.80877E-9
1504.50977,-10.00152,-4.08064E-9,-1.81362E-9,-2.26703E-9
1505.15137,-11.00165,-4.41439E-9,-1.85145E-9,-2.56293E-9
1505.79199,-12.00175,-4.89748E-9,-1.71902E-9,-3.17847E-9
1506.43457,-13.00149,-5.02738E-9,-1.85145E-9,-3.17593E-9
1507.07617,-14.00158,-5.49335E-9,-1.93660E-9,-3.55675E-9
1507.71875,-15.00137,-6.11773E-9,-1.87038E-9,-4.24735E-9
1508.36230,-16.00141,-6.30077E-9,-1.68118E-9,-4.61959E-9
1509.00586,-17.00148,-6.65961E-9,-1.82308E-9,-4.83653E-9
1509.64844,-18.00120,-7.06061E-9,-1.75686E-9,-5.30375E-9
1510.29102,-19.00127,-7.30019E-9,-1.79470E-9,-5.50549E-9
1510.93457,-20.00139,-7.71988E-9,-1.90821E-9,-5.81166E-9
1511.58301,-21.00109,-8.08937E-9,-1.74740E-9,-6.34197E-9
1512.22363,-22.07812,-8.50093E-9,-4.24019E-10,-8.07691E-9
1512.86621,-23.08229,-9.06882E-9,1.86466E-9,-1.09335E-8
1514.33496,-24.06931,-8.81831E-9,3.07539E-9,-1.18937E-8
1514.98047,-25.07578,-9.63216E-9,2.98152E-9,-1.26137E-8
1515.62402,-26.08091,-9.29931E-9,2.87825E-9,-1.21776E-8
1516.26660,-27.06897,-1.02979E-8,2.69559E-9,-1.29935E-8
1516.91602,-28.07550,-1.04654E-8,-1.87037E-9,-8.59506E-9
1517.97168,-29.08159,-1.07858E-8,-1.91767E-9,-8.86816E-9
1518.61523,-30.07087,-1.13383E-8,-1.80415E-9,-9.53413E-9
1519.26270,-31.07513,-1.17452E-8,-1.95191E-9,-9.79333E-9
1519.90723,-32.07975,-1.17787E-8,1.73054E-9,-1.35093E-8
1521.37598,-33.06699,-1.17550E-8,2.99914E-9,-1.47542E-8
1522.02051,-34.07355,-1.29160E-8,3.09403E-9,-1.60100E-8
1522.66309,-35.08105,-1.23321E-8,2.95958E-9,-1.52916E-8
1523.30469,-36.07114,-1.32547E-8,-1.95551E-9,-1.12992E-8
1524.36035,-37.07601,-1.36458E-8,-2.09740E-9,-1.15484E-8
1525.00488,-38.08345,-1.42104E-8,-1.97335E-9,-1.22370E-8
1525.64746,-39.08893,-1.40143E-8,1.76819E-9,-1.57825E-8
1527.12402,-40.07576,-1.39470E-8,3.13877E-9,-1.70858E-8
1527.76660,-41.08043,-1.48433E-8,3.10092E-9,-1.79442E-8
1528.40723,-42.08839,-1.53838E-8,3.04065E-9,-1.84245E-8
1529.04785,-43.07701,-1.57308E-8,2.01159E-9,-1.77424E-8
1529.69141,-44.08126,-1.54806E-8,-2.10681E-9,-1.33738E-8
1530.33203,-45.08774,-1.58026E-8,-2.03114E-9,-1.37715E-8
1530.97559,-46.07548,-1.67908E-8,-2.15410E-9,-1.46367E-8
1531.61914,-47.08010,-1.66529E-8,-2.00315E-9,-1.46497E-8
1532.26855,-48.08819,-1.69507E-8,1.82898E-9,-1.87796E-8
1534.15723,-49.07614,-1.72938E-8,3.13357E-9,-2.04274E-8
1534.79785,-50.08099,-1.80618E-8,3.17656E-9,-2.12383E-8
1535.44238,-51.08566,-1.79310E-8,2.86366E-9,-2.07946E-8
1536.08301,-52.07518,-1.84671E-8,-2.02173E-9,-1.64454E-8
1537.14063,-53.07904,-1.88338E-8,1.94037E-9,-2.07742E-8
1538.60840,-54.08639,-1.92742E-8,2.94871E-9,-2.22229E-8
1539.25293,-55.07506,-1.97829E-8,3.03645E-9,-2.28194E-8
1539.89453,-56.08055,-2.02505E-8,2.29999E-9,-2.25505E-8
1540.53906,-57.08903,-1.99724E-8,-2.22031E-9,-1.77521E-8
1541.17969,-58.07487,-2.06154E-8,-2.07843E-9,-1.85370E-8
1541.82227,-59.08106,-2.10289E-8,-2.22030E-9,-1.88086E-8
1542.46387,-60.08579,-2.09480E-8,1.93224E-9,-2.28803E-8
1544.34473,-61.07314,-2.20107E-8,3.01798E-9,-2.50287E-8
1544.98828,-62.07981,-2.21032E-8,3.10412E-9,-2.52074E-8
1545.63086,-63.08641,-2.29173E-8,1.87978E-9,-2.47971E-8
1547.51270,-64.07475,-2.27798E-8,2.80195E-9,-2.55818E-8
1548.15723,-65.07653,-2.30241E-8,3.15753E-9,-2.61817E-8
1548.80078,-66.08549,-2.31442E-8,3.06127E-9,-2.62055E-8
1549.44531,-67.07324,-2.40198E-8,1.63957E-9,-2.56594E-8
1551.32715,-68.07751,-2.40135E-8,2.92449E-9,-2.69380E-8
1551.97168,-69.08465,-2.38941E-8,2.97763E-9,-2.68718E-8
1552.61719,-70.06961,-2.46552E-8,2.89846E-9,-2.75537E-8
1553.25879,-71.07870,-2.54353E-8,1.87737E-9,-2.73127E-8
1555.14551,-72.08340,-2.47173E-8,2.96142E-9,-2.76787E-8
1555.78906,-73.07285,-2.56497E-8,2.88876E-9,-2.85384E-8
1556.43262,-74.07753,-2.57203E-8,2.78316E-9,-2.85034E-8
1557.07324,-75.08488,-2.65833E-8,-2.36219E-9,-2.42212E-8
1557.71777,-76.07407,-2.68671E-8,-2.25813E-9,-2.46090E-8
1558.36035,-77.07751,-2.65810E-8,-2.43784E-9,-2.41432E-8
1559.00293,-78.08642,-2.74781E-8,-2.42656E-9,-2.50515E-8
1559.64746,-79.07281,-2.84122E-8,2.77684E-9,-3.11891E-8
1560.28906,-80.07824,-2.79426E-8,2.77788E-9,-3.07205E-8
1560.93750,-81.08533,-2.87999E-8,2.68442E-9,-3.14843E-8
1561.57910,-82.07219,-2.96348E-8,2.65678E-9,-3.22915E-8
1562.22168,-83.07726,-2.94895E-8,1.35961E-9,-3.08491E-8
1564.10254,-84.08459,-3.00652E-8,2.50819E-9,-3.25734E-8
1564.74414,-85.08978,-2.98090E-8,2.45024E-9,-3.22593E-8
1565.38770,-86.07950,-3.07874E-8,1.15919E-9,-3.19466E-8
1567.27051,-87.08457,-3.14476E-8,2.05439E-9,-3.35020E-8
1567.91797,-88.08978,-3.20662E-8,8.51635E-10,-3.29179E-8
1569.79883,-89.07509,-3.22853E-8,9.39885E-10,-3.32251E-8
1570.86133,-90.08546,-3.34408E-8,9.14572E-10,-3.43554E-8
1572.64160,-91.09052,-3.48829E-8,-2.59770E-10,-3.46231E-8
1574.82813,-92.07829,-3.70628E-8,-9.62626E-9,-2.74366E-8
1575.47070,-93.08548,-4.42223E-8,-6.82615E-9,-3.73962E-8
1576.11523,-94.09114,-6.76771E-8,-3.57822E-8,-3.18949E-8
